First Name,Last Name,Email,Company,Phone
Darius,Morrow,aliquet.proin.velit@protonmail.org,,
Wanda,Hester,laoreet.lectus@yahoo.couk,,
Fulton,Atkinson,cum@protonmail.couk,,
Amir,Wilder,risus.duis@yahoo.org,,
Ethan,Dorsey,volutpat@yahoo.com,Bureau Vallée,
Xantha,Knox,nisi.a.odio@protonmail.org,,
Chiquita,Sherman,libero@google.com,,06 53 26 72 34
Montana,Cline,phasellus.nulla@hotmail.net,Mail Boxes,03 14 51 24 18
Lance,Floyd,sagittis.duis@yahoo.org,,06 38 78 69 63
Cain,Anthony,non@hotmail.ca,,
Bree,Acevedo,enim@google.ca,,
Jerry,Andrews,magna.ut@aol.org,,
Tim,Cook,tcook@apple.com,Apple,
Satya,Nadella,satyan@microsoft.com,Microsoft,
Andy,Jassy,ajassy@amazon.com,Amazon,
Sundar,Pichai,pichai@gmail.com,,06 53 26 72 34
Mark,Zuckerberg,zuck@meta.com,Meta,03 14 51 24 18
Jensen,Huang,jensen@nvidia.com,NVIDIA,06 38 78 69 63
Elon,Musk,elon@tesla.com,,
Safra,Catz,safra.catz@oracle.com,,
Lisa,Su,lisa.su@amd.com,,
Arvind,Krishna,arvind.krishna@ibm.com,,
Doug,McMillon,doug.mcmillon@walmart.com,,
Brian,Niccol,bniccol@starbucks.com,,
Ron,Vachris,rvachris@costco.com,Costco,
Ted,Decker,ted_decker@homedepot.com,Home Depot,
Brian,Cornell,brian.cornell@target.com,Target,
Elliott,Hill,elliott.hill@nike.com,Nike,06 53 26 72 34
Mary,Barra,mary.barra@gm.com,General Motors,03 14 51 24 18
Jim,Farley,jfarley@ford.com,Ford,06 38 78 69 63
Corie,Barry,corie.barry@bestbuy.com,Best Buy,
Christopher,Kempczinski,chris.kempczinski@mcd.com,McDonald's,
Hans,Vestberg,hans.vestberg@verizon.com,Verizon,
John,Stankey,john.stankey@att.com,AT&T,
Shantanu,Narayen,narayen@adobe.com,Adobe,
Marc,Benioff,ceo@salesforce.com,Salesforce,
Dara,Khosrowshahi,dara@uber.com,Uber,
Tony,Xu,tony@doordash.com,DoorDash,
Brian,Chesky,brian.chesky@airbnb.com,Airbnb,
Patrick,Gelsinger,pat.gelsinger@intel.com,Intel,
Hock,Tan,hock.tan@broadcom.com,Broadcom,06 53 26 72 34
Nikesh,Arora,narora@paloaltonetworks.com,Palo Alto Networks,03 14 51 24 18
Charles,Scharf,charles.scharf@wellsfargo.com,Wells Fargo,06 38 78 69 63
Jane,Fraser,jane.fraser@citi.com,Citigroup,
Jamie,Dimon,jamie.dimon@jpmchase.com,,
David,Solomon,david.solomon@gs.com,,
James,Quincey,jquincey@coca-cola.com,,
Ramon,Laguarta,ramon.laguarta@pepsico.com,,
Michele,Buck,mbuck@hersheys.com,,
Rodney,McMullen,rodney.mcmullen@kroger.com,Kroger,
Vivek,Sankaran,vivek.sankaran@albertsons.com,Albertsons,
David,Ricks,ricks_david_a@lilly.com,Eli Lilly,
Albert,Bourla,albert.bourla@pfizer.com,Pfizer,
Joaquin,Duato,jduato@jnj.com,Johnson & Johnson,
Robert,Iger,robert.iger@disney.com,Disney,06 53 26 72 34
Reed,Hastings,rhastings@netflix.com,Netflix,03 14 51 24 18
Tricia,Griffith,tricia_griffith@progressive.com,Progressive,
Carol,Tomé,ctome@ups.com,UPS,
Michael,O'Leary,olearym@ryanair.com,Ryanair,
Richard,Anderson,randerson@delta.com,Delta Air Lines,
Doug,McMillon,doug.mcmillon@walmart.com,Walmart,
Brian,Cornell,brian.cornell@target.com,Target,
Ron,Vachris,rvachris@costco.com,Costco,
Brian,Niccol,bniccol@starbucks.com,,
Christopher,Kempczinski,chris.kempczinski@mcd.com,,
Ted,Decker,ted_decker@homedepot.com,,
Marvin,Ellison,marvin.ellison@lowes.com,,
Andrew,Cathy,andrew.cathy@chick-fil-a.com,,
Stephen,Dacus,sdacus@7-11.com,,
David,Joyner,david.joyner@cvshealth.com,CVS Health,
Tim,Wentworth,tim.wentworth@walgreens.com,Walgreens Boots Alliance,06 53 26 72 34
Elliott,Hill,elliott.hill@nike.com,Nike,03 14 51 24 18
Nicola,Frampton,nicola.frampton@dominos.com,Domino's Pizza,06 38 78 69 63
Rickbo,Gibbs,david.gibbs@yum.com,Yum! Brands (KFC/Taco Bell),
Richard,Dickson,richard_dickson@gap.com,Gap Inc.,
Christopher,Nassetta,christopher.nassetta@hilton.com,Hilton,
Anthony,Capuano,tony.capuano@marriott.com,,
Mary,Barra,mary.barra@gm.com,General Motors,
Jim,Farley,jfarley@gmail.com,Ford,
Corie,Barry,corie.barry@bestbuy.com,Best Buy,
Rodney,McMullen,rodney.mcmullen@kroger.com,Kroger,
Vivek,Sankaran,vivek.sankaran@albertsons.com,Albertsons,
Philip,Daniele,phil.daniele@autozone.com,AutoZone,
J.K.,Symancyk,jsymancyk@outlook.com,,
John,Furton,j_furton@subway.com,Subway,06 53 26 72 34
Mike,Witynski,mwitynski@dollartree.com,Dollar Tree,03 14 51 24 18
Todd,Vasos,tvasos@dollargeneral.com,Dollar General,
Joanne,Crevoiserat,jcrevoiserat@tapestry.com,,
Fran,Horowitz,fhorowitz@abercrombie.com,,
Erik,Nordstrom,erik.nordstrom@nordstrom.com,,
Tony,Spring,tony.spring@macys.com,,
William,Lynch,wlynch@onepeloton.com,,
James,Quincey,jquincey@gmail.com,Coca-Cola,
Ramon,Laguarta,ramon.laguarta@pepsico.com,PepsiCo,
Michele,Buck,mbuck@hersheys.com,Hershey's,
David,Burwick,david.burwick@bostonbeer.com,Boston Beer Co.,
Robert,Lynch,rob_lynch@papajohns.com,Papa John's,
Gene,Lee,glee@darden.com,Darden Restaurants (Olive Garden),06 53 26 72 34
Kevin,Hochman,khochman@brinker.com,Brinker International (Chili's),03 14 51 24 18
Kevin,Johnson,kjohnson@wsgc.com,Williams-Sonoma,06 38 78 69 63
Ariane,Gorin,agorin@expedia.com,Expedia Group,
Glenn,Fogel,glenn.fogel@booking.com,,
Sébastien,Bazin,sebastien.bazin@accor.com,,
Mark,Hoplamazian,mark.hoplamazian@hyatt.com,,
Charles,Scharf,charles.scharf@wellsfargo.com,,
Jane,Fraser,jane.fraser@citi.com,,
Jamie,Dimon,jamie.dimon@jpmchase.com,JPMorgan Chase,
Brian,Moynihan,brian.moynihan@bofa.com,Bank of America,
Ronald,Clarke,rclarke@fleetcor.com,Fleetcor,
Jeff,Gennette,jgennette@macys.com,Macy's,
